,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_uri,track_href,analysis_url,duration_ms,time_signature
0,0.718,0.632,0,-4.011,1,0.145,0.213,1.28e-05,0.283,0.859,160.039,audio_features,5awvelCGpDQHwgZem0ira9,5awvelCGpDQHwgZem0ira9,https://api.spotify.com/v1/tracks/5awvelCGpDQHwgZem0ira9,https://api.spotify.com/v1/audio-analysis/5awvelCGpDQHwgZem0ira9,207000,4
1,0.777,0.635,5,-6.323,0,0.0392,0.764,2.25e-06,0.155,0.653,138.04,audio_features,44uCMdE6RWnkOFYTtbmUUc,44uCMdE6RWnkOFYTtbmUUc,https://api.spotify.com/v1/tracks/44uCMdE6RWnkOFYTtbmUUc,https://api.spotify.com/v1/audio-analysis/44uCMdE6RWnkOFYTtbmUUc,184360,4
2,0.745,0.741,2,-7.212,1,0.184,0.209,0.0,0.51,0.48,94.002,audio_features,6vl5ghDnotGACfQy6JDYzY,6vl5ghDnotGACfQy6JDYzY,https://api.spotify.com/v1/tracks/6vl5ghDnotGACfQy6JDYzY,https://api.spotify.com/v1/audio-analysis/6vl5ghDnotGACfQy6JDYzY,185487,4
3,0.829,0.543,7,-6.886,1,0.0486,0.39,0.156,0.0988,0.358,101.027,audio_features,0rWXN4PLsnNaWDelk2938S,0rWXN4PLsnNaWDelk2938S,https://api.spotify.com/v1/tracks/0rWXN4PLsnNaWDelk2938S,https://api.spotify.com/v1/audio-analysis/0rWXN4PLsnNaWDelk2938S,83156,4
4,0.7,0.53,4,-6.216,1,0.0285,0.00775,0.000894,0.195,0.505,99.992,audio_features,3ZNOdspGb2cdossfsUqTjw,3ZNOdspGb2cdossfsUqTjw,https://api.spotify.com/v1/tracks/3ZNOdspGb2cdossfsUqTjw,https://api.spotify.com/v1/audio-analysis/3ZNOdspGb2cdossfsUqTjw,220482,4
5,0.749,0.701,9,-5.782,1,0.251,0.124,0.0,0.0528,0.891,174.013,audio_features,3ELtMjUmzqUZGtOtvd3DqO,3ELtMjUmzqUZGtOtvd3DqO,https://api.spotify.com/v1/tracks/3ELtMjUmzqUZGtOtvd3DqO,https://api.spotify.com/v1/audio-analysis/3ELtMjUmzqUZGtOtvd3DqO,198922,4
6,0.78,0.649,7,-5.024,1,0.0541,0.166,0.0,0.333,0.656,88.498,audio_features,5vUel569Lei71zcFkbHr3W,5vUel569Lei71zcFkbHr3W,https://api.spotify.com/v1/tracks/5vUel569Lei71zcFkbHr3W,https://api.spotify.com/v1/audio-analysis/5vUel569Lei71zcFkbHr3W,186441,4
7,0.701,0.34,11,-11.057,1,0.152,0.386,0.0141,0.259,0.675,79.934,audio_features,6InVPJLNbia2XBqDUVqxWy,6InVPJLNbia2XBqDUVqxWy,https://api.spotify.com/v1/tracks/6InVPJLNbia2XBqDUVqxWy,https://api.spotify.com/v1/audio-analysis/6InVPJLNbia2XBqDUVqxWy,213000,4
8,0.926,0.521,5,-5.17,0,0.0408,0.462,0.000117,0.108,0.534,115.403,audio_features,4Hpi2QkO0Yl8OzirZuyY57,4Hpi2QkO0Yl8OzirZuyY57,https://api.spotify.com/v1/tracks/4Hpi2QkO0Yl8OzirZuyY57,https://api.spotify.com/v1/audio-analysis/4Hpi2QkO0Yl8OzirZuyY57,185960,4
9,0.806,0.657,2,-5.235,1,0.155,0.11,0.000155,0.671,0.565,143.845,audio_features,7uxvjn5K2Z9ht0m6OosnMU,7uxvjn5K2Z9ht0m6OosnMU,https://api.spotify.com/v1/tracks/7uxvjn5K2Z9ht0m6OosnMU,https://api.spotify.com/v1/audio-analysis/7uxvjn5K2Z9ht0m6OosnMU,184123,4
10,0.64,0.513,4,-6.811,0,0.042,0.171,0.0,0.101,0.115,120.06,audio_features,3iVPKtYKLeW3PgI2w0fHM1,3iVPKtYKLeW3PgI2w0fHM1,https://api.spotify.com/v1/tracks/3iVPKtYKLeW3PgI2w0fHM1,https://api.spotify.com/v1/audio-analysis/3iVPKtYKLeW3PgI2w0fHM1,184392,4
11,0.831,0.32,7,-7.916,1,0.143,0.299,0.0,0.0757,0.319,80.935,audio_features,6cvRSOoJKvQwS0oDt0TePP,6cvRSOoJKvQwS0oDt0TePP,https://api.spotify.com/v1/tracks/6cvRSOoJKvQwS0oDt0TePP,https://api.spotify.com/v1/audio-analysis/6cvRSOoJKvQwS0oDt0TePP,217778,4
12,0.579,0.531,2,-8.875,1,0.191,0.0755,0.000132,0.113,0.268,116.02,audio_features,5KPPPyaYNsSlrl1rNIswvG,5KPPPyaYNsSlrl1rNIswvG,https://api.spotify.com/v1/tracks/5KPPPyaYNsSlrl1rNIswvG,https://api.spotify.com/v1/audio-analysis/5KPPPyaYNsSlrl1rNIswvG,201503,5
13,0.817,0.802,6,-4.624,0,0.098,0.295,0.0,0.077,0.695,130.022,audio_features,5w2hugkhRjehQjSuDl9ulH,5w2hugkhRjehQjSuDl9ulH,https://api.spotify.com/v1/tracks/5w2hugkhRjehQjSuDl9ulH,https://api.spotify.com/v1/audio-analysis/5w2hugkhRjehQjSuDl9ulH,193407,4
14,0.835,0.507,3,-8.469,0,0.125,0.36,0.0,0.104,0.651,110.046,audio_features,6T10buITypvNM3WXMVDT7p,6T10buITypvNM3WXMVDT7p,https://api.spotify.com/v1/tracks/6T10buITypvNM3WXMVDT7p,https://api.spotify.com/v1/audio-analysis/6T10buITypvNM3WXMVDT7p,247144,4
15,0.708,0.562,8,-4.592,0,0.0824,0.0534,0.0,0.118,0.719,108.899,audio_features,5uMyjSSewg4B9DLXkEHNCo,5uMyjSSewg4B9DLXkEHNCo,https://api.spotify.com/v1/tracks/5uMyjSSewg4B9DLXkEHNCo,https://api.spotify.com/v1/audio-analysis/5uMyjSSewg4B9DLXkEHNCo,202585,4
16,0.708,0.667,4,-5.854,1,0.0356,0.16,0.000683,0.183,0.616,145.976,audio_features,2Cien9M0slpqsN7sXoSckm,2Cien9M0slpqsN7sXoSckm,https://api.spotify.com/v1/tracks/2Cien9M0slpqsN7sXoSckm,https://api.spotify.com/v1/audio-analysis/2Cien9M0slpqsN7sXoSckm,165034,4
17,0.471,0.68,0,-6.059,1,0.134,0.429,0.0,0.758,0.489,86.414,audio_features,4uffv27GFjcAN0ahI2Eh3K,4uffv27GFjcAN0ahI2Eh3K,https://api.spotify.com/v1/tracks/4uffv27GFjcAN0ahI2Eh3K,https://api.spotify.com/v1/audio-analysis/4uffv27GFjcAN0ahI2Eh3K,240241,4
18,0.743,0.736,6,-6.706,0,0.262,0.0393,0.0,0.0491,0.805,148.033,audio_features,4YNzfDzv8JCK9JLK299efl,4YNzfDzv8JCK9JLK299efl,https://api.spotify.com/v1/tracks/4YNzfDzv8JCK9JLK299efl,https://api.spotify.com/v1/audio-analysis/4YNzfDzv8JCK9JLK299efl,213243,4
19,0.725,0.56,4,-8.61,0,0.0417,0.112,0.000221,0.164,0.366,93.02,audio_features,3CM9A4BxQa0WjAOleeyvoh,3CM9A4BxQa0WjAOleeyvoh,https://api.spotify.com/v1/tracks/3CM9A4BxQa0WjAOleeyvoh,https://api.spotify.com/v1/audio-analysis/3CM9A4BxQa0WjAOleeyvoh,170343,4
20,0.802,0.772,6,-6.006,1,0.0404,0.0552,0.0,0.0641,0.779,132.942,audio_features,3Mj9MDsMqMqXBgZvktOoOY,3Mj9MDsMqMqXBgZvktOoOY,https://api.spotify.com/v1/tracks/3Mj9MDsMqMqXBgZvktOoOY,https://api.spotify.com/v1/audio-analysis/3Mj9MDsMqMqXBgZvktOoOY,162406,4
21,0.846,0.851,9,-3.821,1,0.372,0.0244,0.0,0.153,0.822,139.966,audio_features,26qTfV9DiLTT5fBXgvXfFx,26qTfV9DiLTT5fBXgvXfFx,https://api.spotify.com/v1/tracks/26qTfV9DiLTT5fBXgvXfFx,https://api.spotify.com/v1/audio-analysis/26qTfV9DiLTT5fBXgvXfFx,178286,4
22,0.859,0.625,7,-8.927,1,0.0593,0.618,0.0,0.111,0.751,122.011,audio_features,4qov4NauMMEyqZGLzK4ezu,4qov4NauMMEyqZGLzK4ezu,https://api.spotify.com/v1/tracks/4qov4NauMMEyqZGLzK4ezu,https://api.spotify.com/v1/audio-analysis/4qov4NauMMEyqZGLzK4ezu,184918,4
23,0.612,0.679,6,-5.037,0,0.276,0.133,0.00104,0.17,0.767,170.18,audio_features,31rYTFcArASOky4nneBlO9,31rYTFcArASOky4nneBlO9,https://api.spotify.com/v1/tracks/31rYTFcArASOky4nneBlO9,https://api.spotify.com/v1/audio-analysis/31rYTFcArASOky4nneBlO9,170000,4
24,0.694,0.595,1,-6.672,1,0.357,0.134,0.0,0.657,0.574,179.977,audio_features,5IUYYdqgqIoZtVU95rfT0I,5IUYYdqgqIoZtVU95rfT0I,https://api.spotify.com/v1/tracks/5IUYYdqgqIoZtVU95rfT0I,https://api.spotify.com/v1/audio-analysis/5IUYYdqgqIoZtVU95rfT0I,234304,4
25,0.899,0.573,9,-5.47,1,0.0556,0.267,4.67e-06,0.0854,0.826,120.006,audio_features,1E8t8Gtb6BQfMMpEgVNyIh,1E8t8Gtb6BQfMMpEgVNyIh,https://api.spotify.com/v1/tracks/1E8t8Gtb6BQfMMpEgVNyIh,https://api.spotify.com/v1/audio-analysis/1E8t8Gtb6BQfMMpEgVNyIh,211000,4
26,0.511,0.682,1,-5.6,1,0.257,0.32,0.000263,0.298,0.533,89.832,audio_features,3gm8vGx0x7QlAzixk4IcdE,3gm8vGx0x7QlAzixk4IcdE,https://api.spotify.com/v1/tracks/3gm8vGx0x7QlAzixk4IcdE,https://api.spotify.com/v1/audio-analysis/3gm8vGx0x7QlAzixk4IcdE,192000,4
27,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,audio_features,00HIh9mVUQQAycsQiciWsh,00HIh9mVUQQAycsQiciWsh,https://api.spotify.com/v1/tracks/00HIh9mVUQQAycsQiciWsh,https://api.spotify.com/v1/audio-analysis/00HIh9mVUQQAycsQiciWsh,209165,4
28,0.839,0.564,9,-5.461,0,0.181,0.102,0.0,0.11,0.853,132.063,audio_features,6bWl8yJncLECMCfu5InGOk,6bWl8yJncLECMCfu5InGOk,https://api.spotify.com/v1/tracks/6bWl8yJncLECMCfu5InGOk,https://api.spotify.com/v1/audio-analysis/6bWl8yJncLECMCfu5InGOk,205000,4
29,0.798,0.655,7,-4.805,0,0.055,0.0847,0.0,0.0502,0.77,105.963,audio_features,7rm8f8PBmvAGsa9GfJqga1,7rm8f8PBmvAGsa9GfJqga1,https://api.spotify.com/v1/tracks/7rm8f8PBmvAGsa9GfJqga1,https://api.spotify.com/v1/audio-analysis/7rm8f8PBmvAGsa9GfJqga1,226367,4
30,0.746,0.836,0,-5.178,0,0.0455,0.205,2.11e-05,0.184,0.651,126.966,audio_features,1caLffCBOYy7xJFvt8LBkm,1caLffCBOYy7xJFvt8LBkm,https://api.spotify.com/v1/tracks/1caLffCBOYy7xJFvt8LBkm,https://api.spotify.com/v1/audio-analysis/1caLffCBOYy7xJFvt8LBkm,264750,4
31,0.766,0.724,4,-8.24,0,0.12,0.752,0.01,0.0904,0.645,153.964,audio_features,7AvtCxEvsKQsJmWIRjVDd3,7AvtCxEvsKQsJmWIRjVDd3,https://api.spotify.com/v1/tracks/7AvtCxEvsKQsJmWIRjVDd3,https://api.spotify.com/v1/audio-analysis/7AvtCxEvsKQsJmWIRjVDd3,218182,4
32,0.521,0.33,5,-11.752,1,0.0853,0.135,4.37e-05,0.0962,0.199,153.374,audio_features,09pjMhfwFGB5TKEQLBdcMX,09pjMhfwFGB5TKEQLBdcMX,https://api.spotify.com/v1/tracks/09pjMhfwFGB5TKEQLBdcMX,https://api.spotify.com/v1/audio-analysis/09pjMhfwFGB5TKEQLBdcMX,201039,3
33,0.925,0.453,9,-8.376,0,0.168,0.306,6.99e-05,0.0972,0.52,137.022,audio_features,1rmCgwtyg3QXe7iKu1dqpD,1rmCgwtyg3QXe7iKu1dqpD,https://api.spotify.com/v1/tracks/1rmCgwtyg3QXe7iKu1dqpD,https://api.spotify.com/v1/audio-analysis/1rmCgwtyg3QXe7iKu1dqpD,115618,4
34,0.736,0.707,8,-4.491,1,0.103,0.251,0.0,0.411,0.58,90.078,audio_features,4wFzDwH40XrQL067ETa9wy,4wFzDwH40XrQL067ETa9wy,https://api.spotify.com/v1/tracks/4wFzDwH40XrQL067ETa9wy,https://api.spotify.com/v1/audio-analysis/4wFzDwH40XrQL067ETa9wy,195188,4
35,0.905,0.721,7,-6.922,1,0.31,0.48,0.0,0.528,0.695,145.958,audio_features,1gewwJHPkvysxLEGgOKQuB,1gewwJHPkvysxLEGgOKQuB,https://api.spotify.com/v1/tracks/1gewwJHPkvysxLEGgOKQuB,https://api.spotify.com/v1/audio-analysis/1gewwJHPkvysxLEGgOKQuB,195000,4
36,0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,audio_features,7yHqOZfsXYlicyoMt62yC6,7yHqOZfsXYlicyoMt62yC6,https://api.spotify.com/v1/tracks/7yHqOZfsXYlicyoMt62yC6,https://api.spotify.com/v1/audio-analysis/7yHqOZfsXYlicyoMt62yC6,240597,4
37,0.806,0.605,2,-4.901,1,0.274,0.122,0.0,0.0757,0.847,158.026,audio_features,3mcVG92JUD8lmqMi3qq6it,3mcVG92JUD8lmqMi3qq6it,https://api.spotify.com/v1/tracks/3mcVG92JUD8lmqMi3qq6it,https://api.spotify.com/v1/audio-analysis/3mcVG92JUD8lmqMi3qq6it,162532,4
38,0.809,0.472,2,-10.525,1,0.158,0.68,0.000274,0.0821,0.293,129.991,audio_features,6jK4ybz93tWYjRJwjM9GSW,6jK4ybz93tWYjRJwjM9GSW,https://api.spotify.com/v1/tracks/6jK4ybz93tWYjRJwjM9GSW,https://api.spotify.com/v1/audio-analysis/6jK4ybz93tWYjRJwjM9GSW,186462,4
39,0.778,0.581,0,-5.926,1,0.1,0.0385,0.0,0.0268,0.701,140.94,audio_features,2twbMJ7Z0FGUCxEa6qjYEi,2twbMJ7Z0FGUCxEa6qjYEi,https://api.spotify.com/v1/tracks/2twbMJ7Z0FGUCxEa6qjYEi,https://api.spotify.com/v1/audio-analysis/2twbMJ7Z0FGUCxEa6qjYEi,201160,4
40,0.718,0.585,6,-9.023,0,0.244,0.231,0.0,0.175,0.791,141.844,audio_features,0F9HcbLW7FGW47JH08y8HS,0F9HcbLW7FGW47JH08y8HS,https://api.spotify.com/v1/tracks/0F9HcbLW7FGW47JH08y8HS,https://api.spotify.com/v1/audio-analysis/0F9HcbLW7FGW47JH08y8HS,114933,4
41,0.804,0.689,4,-12.312,1,0.0449,0.504,0.656,0.385,0.565,100.003,audio_features,76Ffe9qbscw3qo8I4Kmi4j,76Ffe9qbscw3qo8I4Kmi4j,https://api.spotify.com/v1/tracks/76Ffe9qbscw3qo8I4Kmi4j,https://api.spotify.com/v1/audio-analysis/76Ffe9qbscw3qo8I4Kmi4j,166346,4
42,0.758,0.684,6,-5.037,0,0.085,0.0953,2.11e-06,0.149,0.73,109.953,audio_features,2jjuzjDbmVOI7kNCSxy5e4,2jjuzjDbmVOI7kNCSxy5e4,https://api.spotify.com/v1/tracks/2jjuzjDbmVOI7kNCSxy5e4,https://api.spotify.com/v1/audio-analysis/2jjuzjDbmVOI7kNCSxy5e4,244540,4
43,0.798,0.523,3,-5.085,1,0.0536,0.261,0.0,0.105,0.409,124.999,audio_features,28FqD6P5Elq2hIJvvTx2dW,28FqD6P5Elq2hIJvvTx2dW,https://api.spotify.com/v1/tracks/28FqD6P5Elq2hIJvvTx2dW,https://api.spotify.com/v1/audio-analysis/28FqD6P5Elq2hIJvvTx2dW,191633,4
44,0.716,0.729,5,-6.313,1,0.117,0.0991,0.0,0.0842,0.276,131.975,audio_features,4ve2uzqdwnHr20G5YgMMqr,4ve2uzqdwnHr20G5YgMMqr,https://api.spotify.com/v1/tracks/4ve2uzqdwnHr20G5YgMMqr,https://api.spotify.com/v1/audio-analysis/4ve2uzqdwnHr20G5YgMMqr,226693,4
45,0.404,0.417,1,-8.125,1,0.273,0.886,0.0,0.109,0.315,80.614,audio_features,0L7FWnFq9fJ8rE8gNG1Bkc,0L7FWnFq9fJ8rE8gNG1Bkc,https://api.spotify.com/v1/tracks/0L7FWnFq9fJ8rE8gNG1Bkc,https://api.spotify.com/v1/audio-analysis/0L7FWnFq9fJ8rE8gNG1Bkc,250281,4
46,0.689,0.367,4,-6.228,1,0.107,0.781,0.0,0.128,0.721,79.081,audio_features,5hM4EMpGb8qw6enzrQm7hI,5hM4EMpGb8qw6enzrQm7hI,https://api.spotify.com/v1/tracks/5hM4EMpGb8qw6enzrQm7hI,https://api.spotify.com/v1/audio-analysis/5hM4EMpGb8qw6enzrQm7hI,174569,4
47,0.743,0.647,4,-6.194,1,0.0338,0.26,1.61e-06,0.322,0.9,141.226,audio_features,6WgYoOtcXnmyv4cK6RRtYv,6WgYoOtcXnmyv4cK6RRtYv,https://api.spotify.com/v1/tracks/6WgYoOtcXnmyv4cK6RRtYv,https://api.spotify.com/v1/audio-analysis/6WgYoOtcXnmyv4cK6RRtYv,177000,4
48,0.924,0.637,10,-4.823,1,0.454,0.277,0.0,0.339,0.597,130.055,audio_features,1DaKKdbaXf6R6m3kybY01D,1DaKKdbaXf6R6m3kybY01D,https://api.spotify.com/v1/tracks/1DaKKdbaXf6R6m3kybY01D,https://api.spotify.com/v1/audio-analysis/1DaKKdbaXf6R6m3kybY01D,246506,4
49,0.54,0.744,1,-10.942,1,0.405,0.307,8.95e-05,0.103,0.925,92.207,audio_features,6kVku2CoE7fbD29miiutzw,6kVku2CoE7fbD29miiutzw,https://api.spotify.com/v1/tracks/6kVku2CoE7fbD29miiutzw,https://api.spotify.com/v1/audio-analysis/6kVku2CoE7fbD29miiutzw,199184,4
50,0.83,0.61,9,-7.269,0,0.273,0.24,0.0,0.133,0.781,127.949,audio_features,4yGfpoEFOBW8tfM2Rgl57y,4yGfpoEFOBW8tfM2Rgl57y,https://api.spotify.com/v1/tracks/4yGfpoEFOBW8tfM2Rgl57y,https://api.spotify.com/v1/audio-analysis/4yGfpoEFOBW8tfM2Rgl57y,214219,4
51,0.671,0.449,0,-6.413,1,0.3,0.439,0.00125,0.0791,0.35,95.065,audio_features,2g20BLinFvXA6l47j4igE5,2g20BLinFvXA6l47j4igE5,https://api.spotify.com/v1/tracks/2g20BLinFvXA6l47j4igE5,https://api.spotify.com/v1/audio-analysis/2g20BLinFvXA6l47j4igE5,242526,4
52,0.819,0.271,9,-8.655,1,0.0637,0.864,0.0,0.125,0.63,108.837,audio_features,4w7vX3fwHC9Or21RUf8DOy,4w7vX3fwHC9Or21RUf8DOy,https://api.spotify.com/v1/tracks/4w7vX3fwHC9Or21RUf8DOy,https://api.spotify.com/v1/audio-analysis/4w7vX3fwHC9Or21RUf8DOy,179920,4
53,0.827,0.525,6,-5.823,0,0.0309,0.118,0.00674,0.107,0.883,119.985,audio_features,3pdHWxpeFJqai3skQcRr41,3pdHWxpeFJqai3skQcRr41,https://api.spotify.com/v1/tracks/3pdHWxpeFJqai3skQcRr41,https://api.spotify.com/v1/audio-analysis/3pdHWxpeFJqai3skQcRr41,250000,4
54,0.83,0.501,0,-6.223,1,0.0308,0.532,0.0013,0.0985,0.481,117.999,audio_features,6zeS1N6ls8cG4TMablZtFu,6zeS1N6ls8cG4TMablZtFu,https://api.spotify.com/v1/tracks/6zeS1N6ls8cG4TMablZtFu,https://api.spotify.com/v1/audio-analysis/6zeS1N6ls8cG4TMablZtFu,264204,4
55,0.616,0.204,6,-11.421,0,0.0331,0.919,0.0,0.106,0.419,79.826,audio_features,5dXI2NV7X2c4anyLFbQdEX,5dXI2NV7X2c4anyLFbQdEX,https://api.spotify.com/v1/tracks/5dXI2NV7X2c4anyLFbQdEX,https://api.spotify.com/v1/audio-analysis/5dXI2NV7X2c4anyLFbQdEX,191000,4
56,0.866,0.388,9,-11.009,1,0.32,0.571,0.0,0.1,0.556,109.976,audio_features,0eGrwX4kf5sV1faR5tZDp3,0eGrwX4kf5sV1faR5tZDp3,https://api.spotify.com/v1/tracks/0eGrwX4kf5sV1faR5tZDp3,https://api.spotify.com/v1/audio-analysis/0eGrwX4kf5sV1faR5tZDp3,205091,4
57,0.445,0.518,1,-6.424,1,0.143,0.29,2.71e-05,0.113,0.241,171.9,audio_features,4QbVWCAkh9Z1G041cQAiZ9,4QbVWCAkh9Z1G041cQAiZ9,https://api.spotify.com/v1/tracks/4QbVWCAkh9Z1G041cQAiZ9,https://api.spotify.com/v1/audio-analysis/4QbVWCAkh9Z1G041cQAiZ9,240000,4
58,0.758,0.675,7,-6.49,0,0.0845,0.0746,1.32e-06,0.167,0.491,148.093,audio_features,0zycJ5wiUlx2aP3MySQv0S,0zycJ5wiUlx2aP3MySQv0S,https://api.spotify.com/v1/tracks/0zycJ5wiUlx2aP3MySQv0S,https://api.spotify.com/v1/audio-analysis/0zycJ5wiUlx2aP3MySQv0S,170293,4
59,0.498,0.0506,1,-20.634,1,0.0395,0.993,0.0092,0.101,0.0796,119.287,audio_features,11uegai5EDWOoCyQNfr3Ig,11uegai5EDWOoCyQNfr3Ig,https://api.spotify.com/v1/tracks/11uegai5EDWOoCyQNfr3Ig,https://api.spotify.com/v1/audio-analysis/11uegai5EDWOoCyQNfr3Ig,138500,4
60,0.878,0.407,7,-10.941,1,0.233,0.459,0.0,0.111,0.546,89.007,audio_features,00bWqt93aqLXqKtzZoq7Jw,00bWqt93aqLXqKtzZoq7Jw,https://api.spotify.com/v1/tracks/00bWqt93aqLXqKtzZoq7Jw,https://api.spotify.com/v1/audio-analysis/00bWqt93aqLXqKtzZoq7Jw,286517,4
61,0.748,0.842,10,-3.107,1,0.0265,0.0217,4.24e-06,0.357,0.945,119.023,audio_features,1OzY7RRZh3EcIKn7VKZUTx,1OzY7RRZh3EcIKn7VKZUTx,https://api.spotify.com/v1/tracks/1OzY7RRZh3EcIKn7VKZUTx,https://api.spotify.com/v1/audio-analysis/1OzY7RRZh3EcIKn7VKZUTx,233573,4
62,0.714,0.434,4,-11.542,1,0.0396,0.697,0.0,0.0919,0.352,123.942,audio_features,5jx8tCxiO0uIbo2uNia23K,5jx8tCxiO0uIbo2uNia23K,https://api.spotify.com/v1/tracks/5jx8tCxiO0uIbo2uNia23K,https://api.spotify.com/v1/audio-analysis/5jx8tCxiO0uIbo2uNia23K,259040,4
63,0.753,0.498,2,-5.61,1,0.0504,0.551,0.0,0.0706,0.927,89.95,audio_features,1A6OTy97kk0mMdm78rHsm8,1A6OTy97kk0mMdm78rHsm8,https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8,https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8,158053,4
64,0.697,0.817,5,-3.472,0,0.149,0.109,0.0,0.0258,0.697,95.034,audio_features,1Dqi65YqYbsSLAICxwqmvZ,1Dqi65YqYbsSLAICxwqmvZ,https://api.spotify.com/v1/tracks/1Dqi65YqYbsSLAICxwqmvZ,https://api.spotify.com/v1/audio-analysis/1Dqi65YqYbsSLAICxwqmvZ,199307,4
65,0.767,0.732,7,-5.472,1,0.0759,0.00801,0.716,0.309,0.504,104.953,audio_features,4vyq2tl0NuCkYa5iXWWOLa,4vyq2tl0NuCkYa5iXWWOLa,https://api.spotify.com/v1/tracks/4vyq2tl0NuCkYa5iXWWOLa,https://api.spotify.com/v1/audio-analysis/4vyq2tl0NuCkYa5iXWWOLa,193861,4
66,0.672,0.755,11,-4.666,0,0.187,0.014,0.826,0.164,0.51,77.549,audio_features,1AY001zik4a6IFFE4ZrV9K,1AY001zik4a6IFFE4ZrV9K,https://api.spotify.com/v1/tracks/1AY001zik4a6IFFE4ZrV9K,https://api.spotify.com/v1/audio-analysis/1AY001zik4a6IFFE4ZrV9K,210596,4
67,0.708,0.729,8,-7.618,1,0.0311,0.0675,0.0,0.165,0.562,117.003,audio_features,2jHtrZpn4EodGzAtK2WAxb,2jHtrZpn4EodGzAtK2WAxb,https://api.spotify.com/v1/tracks/2jHtrZpn4EodGzAtK2WAxb,https://api.spotify.com/v1/audio-analysis/2jHtrZpn4EodGzAtK2WAxb,157436,4
68,0.803,0.657,4,-6.65,0,0.175,0.205,0.0,0.0658,0.588,95.031,audio_features,1lsoPCmKIp1bZHp17gw9Xr,1lsoPCmKIp1bZHp17gw9Xr,https://api.spotify.com/v1/tracks/1lsoPCmKIp1bZHp17gw9Xr,https://api.spotify.com/v1/audio-analysis/1lsoPCmKIp1bZHp17gw9Xr,177095,4
69,0.759,0.333,11,-8.68,0,0.0357,0.246,0.0,0.222,0.673,121.831,audio_features,6k6Llm7Kw3Ad1Xo1e6sIcR,6k6Llm7Kw3Ad1Xo1e6sIcR,https://api.spotify.com/v1/tracks/6k6Llm7Kw3Ad1Xo1e6sIcR,https://api.spotify.com/v1/audio-analysis/6k6Llm7Kw3Ad1Xo1e6sIcR,172760,4
70,0.724,0.517,9,-4.734,1,0.0343,0.813,0.0,0.0966,0.702,127.951,audio_features,06mTWanqGpcmT1n9mSG4E2,06mTWanqGpcmT1n9mSG4E2,https://api.spotify.com/v1/tracks/06mTWanqGpcmT1n9mSG4E2,https://api.spotify.com/v1/audio-analysis/06mTWanqGpcmT1n9mSG4E2,237616,4
71,0.743,0.416,11,-5.837,0,0.0266,0.711,0.0,0.112,0.613,122.021,audio_features,6qEsV45fh3uA4Y4HcWoEpO,6qEsV45fh3uA4Y4HcWoEpO,https://api.spotify.com/v1/tracks/6qEsV45fh3uA4Y4HcWoEpO,https://api.spotify.com/v1/audio-analysis/6qEsV45fh3uA4Y4HcWoEpO,239044,4
72,0.45,0.515,0,-9.428,1,0.227,0.919,0.00246,0.162,0.719,78.372,audio_features,0Q7bQszd9Lr699WS2Uo9aq,0Q7bQszd9Lr699WS2Uo9aq,https://api.spotify.com/v1/tracks/0Q7bQszd9Lr699WS2Uo9aq,https://api.spotify.com/v1/audio-analysis/0Q7bQszd9Lr699WS2Uo9aq,143600,4
73,0.797,0.518,7,-12.625,1,0.281,0.282,0.0,0.0954,0.717,139.988,audio_features,2oHDXaIgFkD41mkocZKMKC,2oHDXaIgFkD41mkocZKMKC,https://api.spotify.com/v1/tracks/2oHDXaIgFkD41mkocZKMKC,https://api.spotify.com/v1/audio-analysis/2oHDXaIgFkD41mkocZKMKC,173558,4
74,0.785,0.563,6,-7.805,1,0.103,0.655,0.00916,0.108,0.425,86.025,audio_features,3bszbt6NF38VOyCPndzUH0,3bszbt6NF38VOyCPndzUH0,https://api.spotify.com/v1/tracks/3bszbt6NF38VOyCPndzUH0,https://api.spotify.com/v1/audio-analysis/3bszbt6NF38VOyCPndzUH0,157038,4
75,0.516,0.358,8,-12.018,0,0.424,0.743,1.3e-06,0.0813,0.397,79.509,audio_features,0sHFw13WH3LtSB3yP8UMYJ,0sHFw13WH3LtSB3yP8UMYJ,https://api.spotify.com/v1/tracks/0sHFw13WH3LtSB3yP8UMYJ,https://api.spotify.com/v1/audio-analysis/0sHFw13WH3LtSB3yP8UMYJ,124000,4
76,0.849,0.362,2,-8.585,1,0.41,0.526,1.63e-05,0.233,0.415,81.143,audio_features,3UJS9aEUbtYO8kMl1IK1r3,3UJS9aEUbtYO8kMl1IK1r3,https://api.spotify.com/v1/tracks/3UJS9aEUbtYO8kMl1IK1r3,https://api.spotify.com/v1/audio-analysis/3UJS9aEUbtYO8kMl1IK1r3,237157,4
